,Player,Mat,1st,2nd,,Team,Opposition,Ground,Match Date,Scorecard
301,,,26,76,,Australia,v West Indies,Bridgetown,19 Apr 1991,Test # 1169
302,,,59,144,,Australia,v West Indies,St John's,27 Apr 1991,Test # 1170
303,,,94,35*,,Australia,v India,Brisbane,29 Nov 1991,Test # 1177
304,,,13,60,,Australia,v India,Melbourne,26 Dec 1991,Test # 1180
305,,,56,35,,Australia,v India,Sydney,2 Jan 1992,Test # 1181
306,,,11,100,,Australia,v India,Adelaide,25 Jan 1992,Test # 1184
307,RS Mahanama,7,58,8,,Sri Lanka,v Pakistan,Faisalabad,2 Jan 1992,Test # 1182
308,,,78,39,,Sri Lanka,v Australia,Colombo (SSC),17 Aug 1992,Test # 1194
309,,,14,69,,Sri Lanka,v Australia,Colombo (RPS),28 Aug 1992,Test # 1195
310,,,50,-,,Sri Lanka,v Australia,Moratuwa,8 Sep 1992,Test # 1196
311,,,153,-,,Sri Lanka,v New Zealand,Moratuwa,27 Nov 1992,Test # 1203
312,,,109,29,,Sri Lanka,v New Zealand,Colombo (SSC),6 Dec 1992,Test # 1204
313,,,64,6,,Sri Lanka,v England,Colombo (SSC),13 Mar 1993,Test # 1219
314,ME Waugh,7,126,-,,Australia,v West Indies,Kingston,29 Apr 1995,Test # 1297
315,,,59,-,,Australia,v Pakistan,Brisbane,9 Nov 1995,Test # 1311
316,,,88,3,,Australia,v Pakistan,Hobart,17 Nov 1995,Test # 1313
317,,,116,34,,Australia,v Pakistan,Sydney,30 Nov 1995,Test # 1314
318,,,111,-,,Australia,v Sri Lanka,Perth,8 Dec 1995,Test # 1317
319,,,61,DNB,,Australia,v Sri Lanka,Melbourne,26 Dec 1995,Test # 1319
320,,,71,12,,Australia,v Sri Lanka,Adelaide,25 Jan 1996,Test # 1324
321,ST Jayasuriya,7,31,62,,Sri Lanka,v Pakistan,Colombo (RPS),19 Apr 1997,Test # 1366
322,,,72,113,,Sri Lanka,v Pakistan,Colombo (SSC),26 Apr 1997,Test # 1367
323,,,85,0,,Sri Lanka,v West Indies,St John's,13 Jun 1997,Test # 1369
324,,,90,17,,Sri Lanka,v West Indies,Kingstown,20 Jun 1997,Test # 1371
325,,,340,-,,Sri Lanka,v India,Colombo (RPS),2 Aug 1997,Test # 1374
326,,,32,199,,Sri Lanka,v India,Colombo (SSC),9 Aug 1997,Test # 1376
327,,,53,17,,Sri Lanka,v India,Mohali,19 Nov 1997,Test # 1385
328,HH Gibbs,7,85,45,,South Africa,v West Indies,St John's,6 Apr 2001,Test # 1542
329,,,18,51,,South Africa,v West Indies,Kingston,19 Apr 2001,Test # 1544
330,,,147,DNB,,South Africa,v Zimbabwe,Harare,7 Sep 2001,Test # 1562
331,,,74,-,,South Africa,v Zimbabwe,Bulawayo,14 Sep 2001,Test # 1563
332,,,107,1,,South Africa,v India,Bloemfontein,3 Nov 2001,Test # 1564
333,,,196,12,,South Africa,v India,Gqeberha,16 Nov 2001,Test # 1569
334,,,78,9,,South Africa,v Australia,Adelaide,14 Dec 2001,Test # 1576
335,JH Kallis,7,17,51,,South Africa,v West Indies,Kingston,19 Apr 2001,Test # 1544
